,text,Degree of Injury
1779,employe is kill in fall from first floor,Fatal
1780,employe is kill in fall while window clean,Fatal
1781,an employe is injur use a pallet jack,Nonfatal
1782,employe is injur when struck by a rotat spindl of a b,Nonfatal
1783,employe faint and fractur ankl,Nonfatal
1784,dockwork fall from freight and is injur,Nonfatal
1785,employe die of natur caus while oper crop scrap s,Fatal
1786,employe fall from ladder and break leg,Nonfatal
1787,employe fingertip is amput caught in a conveyor,Nonfatal
1788,employe fall from ladder and injur both feet,Nonfatal
1789,an employe is poison by excess carbon monoxid in a break,Nonfatal
1790,"employe injur in fall from tanker oil truck, later die",Fatal
1791,employe fall from dock and later die,Fatal
1792,firefight is injur when hit with an uncontrol charg,Nonfatal
1793,employe amput finger in a dough roller machin,Nonfatal
1794,employe is kill in fall from a ladder and scaffold system,Fatal
1795,employe is struck and kill by back truck,Fatal
1796,employe leg is cut with power saw,Nonfatal
1797,employe fall from bed of a truck to the ground sustain ,Nonfatal
1798,employe fingertip amput by food process machin,Nonfatal
1799,two employe are injur in a chemic explos,Nonfatal
1800,employe trip on curv and fractur hip,Nonfatal
1801,employe is poison while weigh potassium cyanid salt,Nonfatal
1802,employe is struck by log and fractur leg,Nonfatal
1803,employe amput finger while oper pull saw,Nonfatal
1804,employe is kill in fall when scaffold fail,Fatal
1805,employe finger is amput dure remov of materi fr,Nonfatal
1806,employe is scald by hot soup,Nonfatal
1807,employe amput finger dure troubleshoot,Nonfatal
1808,employe is struck by fli debri and is injur,Nonfatal
1809,employe collaps and die dure a meet,Fatal
1810,employe burn hand and head when use a hand grinder,Nonfatal
1811,employe fall and fractur ankl,Nonfatal
1812,employe injur hand dure troubleshoot of blow mold,Nonfatal
1813,employe is struck by metal part and fractur arm,Nonfatal
1814,employe reach into dust collect hose and is injur,Nonfatal
1815,employe fall into a pit and is injur,Nonfatal
1816,employe hand is caught between a conveyor belt and fix ,Nonfatal
1817,employe amput thumb wile remov scrap metal from pres,Nonfatal
1818,employe collaps and die while stir waterproof sea,Fatal
1819,employe arm is caught in a mill machin spindl and  l,Nonfatal
1820,employe fractur finger in press brake clamp,Nonfatal
1821,employe jump from semi-trail and fractur foot,Nonfatal
1822,employe is struck by a spring of a strut assembl and is in,Nonfatal
1823,employe amput left pinki finger dure equip operat,Nonfatal
1824,employe injur ankl while free up jam conveyor,Nonfatal
1825,employe is pull into roll former machin and injur hand,Nonfatal
1826,employe injur finger while oper conveyor belt,Nonfatal
1827,employe amput finger while posit trailer on truck,Nonfatal
1828,employe fingertip are amput clean dough sheeter m,Nonfatal
1829,two employe are injur in flash fire,Nonfatal
1830,employe finger are amput dure equip maintenanc,Nonfatal
1831,employe amput finger dure power press oper,Nonfatal
1832,employe injur foot dure remov of furnac scraper,Nonfatal
1833,employe is injur dure repair of scrap conveyor system m,Nonfatal
1834,employee` leg is amput below his knee when struck by fa,Nonfatal
1835,employe foot is crush in a forklift collis,Nonfatal
1836,employe contact util line and is burn,Nonfatal
1837,employe fractur ankl while oper metal punch press,Nonfatal
1838,employe hand contact saw blade and amput middl fing,Nonfatal
1839,employe contact cabl wire and amput thumb,Nonfatal
1840,employe injur finger dure oper of pneumat crimp,Nonfatal
1841,employe is injur in collis between forklift and storag,Nonfatal
1842,employe amput finger while use tabl saw,Nonfatal
1843,employe remov jam in conveyor and injuri arm,Nonfatal
1844,employe is injur in explos,Nonfatal
1845,employe amput finger while oper roll bender machin,Nonfatal
1846,employe fractur arm dure remov of debri from conveyo,Nonfatal
1847,employe fall and fractur hip,Nonfatal
1848,employe is engulf and asphyxi while unload fertili,Fatal
1849,employe amput finger with tabl saw,Nonfatal
1850,employe fall from attic and is injur,Nonfatal
1851,"employe contact energ wire, fall from elev pallet",Fatal
1852,employe is thrown from hors and fractur rib,Nonfatal
1853,employe amput finger while oper pulverizer.,Nonfatal
1854,employe injur head dure forklift collis,Nonfatal
1855,employe is kill in fall through unguard open in roof,Fatal
1856,two employe are injur when struck by motor vehicl,Nonfatal
1857,employe slip on grate and injur elbow,Nonfatal
1858,employe injur thumb when caught a  in saw pulley system,Nonfatal
1859,employe is hospit after suffer cardiac arrest,Nonfatal
1860,three employe are injur in warehous vehicl collis,Nonfatal
1861,employe suffer heart attack while prune grape vines.,Fatal
1862,employe amput finger while perform mainten,Nonfatal
1863,"employe fall from ladder, and sustain multipl injuri",Nonfatal
1864,employe receiv third-degre burn from electr shock,Nonfatal
1865,employe partial amput finger while posit wood s,Nonfatal
1866,employe is crush and kill by pallet jack after fall ,Fatal
1867,employe fall from flat bed truck and fractur ankl,Nonfatal
1868,employe slip on ridg and is kill,Fatal
1869,employe amput finger when caught between pipe,Nonfatal
1870,employe is kill when explos devic deton,Fatal
1871,employe catch hand in punch press and amput four fing,Nonfatal
1872,employe catch hand in machin and amput finger,Nonfatal
1873,employe slip on ice and fractur leg,Nonfatal
1874,employe struck by fall press and amput two finger f,Nonfatal
1875,employe slip and fall  and fractur wristl,Nonfatal
1876,employe becom entangl with machin roller and cut arm,Nonfatal
1877,employe injur head dure materi handl,Nonfatal
1878,employe is burn when molten metal splash onto face,Nonfatal
1879,employe slip on wet paint and injur head,Nonfatal
1880,employe fractur leg when struck by power industri tru,Nonfatal
1881,employe strike a wall while ride a motorcycl,Nonfatal
1882,employe crush thumb dure punch press oper,Nonfatal
1883,employe fall and fractur hip,Nonfatal
1884,employe fall from ladder and is injur,Nonfatal
1885,employe die of appar heart attack while harvest oran,Fatal
1886,employe is kill when struck by metal from explod elect,Fatal
1887,three employe are burn when pressur fryer lid malfuncti,Nonfatal
1888,employe amput finger while oper equip,Nonfatal
1889,employe catch finger in nip point of paint machin and a,Nonfatal
1890,employe fall from scaffold and is injur,Nonfatal
1891,roof employe fall from ladder and fractur ankl,Nonfatal
1892,employe injur back while lift patient,Nonfatal
1893,employe fractur sever finger while clear snowblow,Nonfatal
1894,employe fall and fractur both ankl,Nonfatal
1895,employe struck by excav bucket is killed.,Fatal
1896,employe fractur pelvi when struck by pallet jack,Nonfatal
1897,employe amput finger and lacer second dure engin,Nonfatal
1898,employe is struck by fell tree and kill,Fatal
1899,employe  is struck by concret pump hose and sustain facia,Nonfatal
1900,employe crush and amput toe dure boat assembl,Nonfatal
1901,employe fall from elev locat and fractur rib,Nonfatal
1902,employe fractur heel when caught between lift and wall,Nonfatal
1903,employe receiv electr burn while remov light stra,Nonfatal
1904,employe fall from ladder and fractur vertebra and rib,Nonfatal
1905,employe fall through a skylight and is kill,Fatal
1906,employe amput finger while remov tape from duct pull,Nonfatal
1907,employe jump from bridg and is injur,Nonfatal
1908,employe crush hand in 40 ton press,Nonfatal
1909,employe fractur knee dure fall from curb,Nonfatal
1910,employe is kill in fall from stairwell.,Fatal
1911,employe crush finger in press,Nonfatal
1912,employe fall from roof and is injur,Nonfatal
1913,worker is struck by fall pipe insid a furnac and sustai,Nonfatal
1914,employe fall from shore tower and is injur,Nonfatal
1915,"employe slip into conveyor and fractur leg, lacer fo",Nonfatal
1916,employe catch finger in cut area and amput finger,Nonfatal
1917,employe jump from roof and fractur back,Nonfatal
1918,employe fractur foot when struck by forklift,Nonfatal
1919,employe is electrocut while pull electr line,Fatal
1920,employe catch fingertip in pipe joint and amput them,Nonfatal
1921,employe amput two finger while process meat in grin,Nonfatal
1922,employe is kill in fall from scaffold while cut tree ,Fatal
1923,employe fall down stair and is burn from spill hot oi,Nonfatal
1924,"employe fall from elev location, fractur pelvi and",Nonfatal
1925,employe amput finger while process mail,Nonfatal
1926,employe is eject from aerial lift and suffer multipl in,Nonfatal
1927,employe injur back while instal board on control gat,Nonfatal
1928,employee? fingertip is amput dure print press main,Nonfatal
1929,employe catch finger in drawer and is later amput,Nonfatal
1930,employe foot is crush by concret road barrier,Nonfatal
1931,employe fall from scaffold and fractur hip,Nonfatal
1932,employe slip from a fix ladder and impal himself on ha,Nonfatal
1933,"two employe are injur in electr arc flash, one later",Fatal
1934,employe is injur and later die after flang blow off,Fatal
1935,employe fall through floor open and suffer multipl in,Nonfatal
1936,employe finger is caught in piston and is amput,Nonfatal
1937,employe is struck in the face with nitric acid and suffer ,Nonfatal
1938,employe is overwhelm by fume and hospit with respi,Nonfatal
1939,employe lacer forearm on monorail system hous in man,Nonfatal
1940,employe injur when pin between semi-tank truck and f,Nonfatal
1941,employe suffer a heart attack and die,Fatal
1942,employe thumb is near shear off by hing devic bein,Nonfatal
1943,employe fractur leg in vehicl rollov,Nonfatal
1944,employe fall and fractur hip,Nonfatal
1945,employe injur hand while adjust tower adapt plate,Nonfatal
1946,employe fall from step ladder and fractur ankl,Nonfatal
1947,employe foot is struck by high-pressur water jet from hy,Nonfatal
1948,employe is run over by dozer and killed.,Fatal
1949,employe is kill when caught in mill machine.,Fatal
1950,three employe are injur in natur gas explos,Nonfatal
1951,employe suffer broken leg when run over by forklift,Nonfatal
1952,employe fall from ladder and fractur tailbon,Nonfatal
1953,employe fractur finger while chang pad on a bell ja,Nonfatal
1954,"employe slip and fall into a canal, fractur his knee a",Nonfatal
1955,employe suffer burn while clear line blockag,Nonfatal
1956,employe fingertip is amput in press brake,Nonfatal
1957,employe is struck by car in work zone and killed.,Fatal
1958,employe fall from bed of truck and sustain multipl injur,Nonfatal
1959,employe is kill when crush between granit slab,Fatal
1960,employe finger is amput in machin,Nonfatal
1961,employe is struck in head by rais transform,Nonfatal
1962,employe is struck by forklift and fractur leg,Nonfatal
1963,employe is spray by hot water from a hot water set and su,Nonfatal
1964,employe is crush by air compressor and fractur arm and ,Nonfatal
1965,employe is struck by forklift and suffer unspecifi inju,Nonfatal
1966,employe littl finger is caught by hydraul clamp and is,Nonfatal
1967,employe fall through roof and suffer multipl injuri,Nonfatal
1968,employe amput fingertip in machin,Nonfatal
